name                          	abilities.0          	abilities.1         	abilities.2       	abilities.3      	abilities.4      	abilities.5     	description                                                                                                                                                                     	evolution.0                   	evolution.1     	evolution.2     	evolution.3     	gen     	height     	id      	species                   	stats.attack     	stats.defense     	stats.hp     	stats.sp.atk     	stats.sp.def     	stats.speed     	stats.total     	type.0       	type.1       	weight       
Sableye                       	Keen Eye             	Stall               	Prankster         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.5m       	302     	Darkness Pokemon          	85               	125               	50           	85               	115              	20              	480             	Dark         	Ghost        	11 kg        
Salamence                     	Intimidate           	Moxie               	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.5m       	373     	Dragon Pokemon            	145              	130               	95           	120              	90               	120             	700             	Dragon       	Flying       	102.6 kg     
Salandit                      	Corrosion            	Oblivious           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.6m       	757     	Toxic Lizard Pokemon      	44               	40                	48           	71               	40               	77              	320             	Poison       	Fire         	4.8 kg       
Salazzle                      	Corrosion            	Oblivious           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	1.2m       	758     	Toxic Lizard Pokemon      	64               	60                	68           	111              	60               	117             	480             	Poison       	Fire         	22.2 kg      
Samurott                      	Torrent              	Shell Armor         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.5m       	503     	Formidable Pokemon        	100              	85                	95           	108              	70               	70              	528             	Water        	             	94.6 kg      
Sandile                       	Intimidate           	Moxie               	Anger Point       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.7m       	551     	Desert Croc Pokemon       	72               	35                	50           	35               	35               	65              	292             	Ground       	Dark         	15.2 kg      
Sandshrew                     	Sand Veil            	Sand Rush           	                  	                 	                 	                	It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks.                                                                                     	Sandshrew                     	Sandslash       	                	                	1       	0.61m      	027     	Mouse Pokemon             	75               	85                	50           	20               	30               	40              	300             	Ground       	             	12.0 kg      
Sandslash                     	Sand Veil            	Sand Rush           	                  	                 	                 	                	The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes.                                                                          	Sandshrew                     	Sandslash       	                	                	1       	0.99m      	028     	Mouse Pokemon             	100              	110               	75           	45               	55               	65              	450             	Ground       	             	29.5 kg      
Sandygast                     	Water Compaction     	Sand Veil           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.5m       	769     	Sand Heap Pokemon         	55               	80                	55           	70               	45               	15              	320             	Ghost        	Ground       	70 kg        
Sawk                          	Sturdy               	Inner Focus         	Mold Breaker      	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.4m       	539     	Karate Pokemon            	125              	75                	75           	30               	75               	85              	465             	Fighting     	             	51 kg        
Sawsbuck                      	Chlorophyll          	Sap Sipper          	Serene Grace      	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.9m       	586     	Season Pokemon            	100              	70                	80           	60               	70               	95              	475             	Normal       	Grass        	92.5 kg      
Scatterbug                    	Shield Dust          	Compoundeyes        	Friend Guard      	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.3m       	664     	Scatterdust Pokemon       	35               	40                	38           	27               	25               	35              	200             	Bug          	             	2.5 kg       
Sceptile                      	Overgrow             	Unburden            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.7m       	254     	Forest Pokemon            	110              	75                	70           	145              	85               	145             	630             	Grass        	             	52.2 kg      
Scizor                        	Swarm                	Technician          	Light Metal       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.8m       	212     	Pincer Pokemon            	150              	140               	70           	65               	100              	75              	600             	Bug          	Steel        	118 kg       
Scolipede                     	Poison Point         	Swarm               	Speed Boost       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	2.5m       	545     	Megapede Pokemon          	100              	89                	60           	55               	69               	112             	485             	Bug          	Poison       	200.5 kg     
Scrafty                       	Shed Skin            	Moxie               	Intimidate        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.1m       	560     	Hoodlum Pokemon           	90               	115               	65           	45               	115              	58              	488             	Dark         	Fighting     	30 kg        
Scraggy                       	Shed Skin            	Moxie               	Intimidate        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.6m       	559     	Shedding Pokemon          	75               	70                	50           	35               	70               	48              	348             	Dark         	Fighting     	11.8 kg      
Scyther                       	Swarm                	Technician          	Steadfast         	                 	                 	                	The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.                                                                                    	Scyther                       	                	                	                	1       	1.50m      	123     	Mantis Pokemon            	110              	80                	70           	55               	80               	105             	500             	Bug          	Flying       	56.0 kg      
Seadra                        	Poison Point         	Sniper              	Damp              	                 	                 	                	Its spines provide protection. Its fins and bones are prized as traditional-medicine ingredients.                                                                               	Horsea                        	Seadra          	                	                	1       	1.19m      	117     	Dragon Pokemon            	65               	95                	55           	95               	45               	85              	440             	Water        	             	25.0 kg      
Seaking                       	Swift Swim           	Water Veil          	Lightning Rod     	                 	                 	                	In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.                                                                         	Goldeen                       	Seaking         	                	                	1       	1.30m      	119     	Goldfish Pokemon          	92               	65                	80           	65               	80               	68              	450             	Water        	             	39.0 kg      
Sealeo                        	Thick Fat            	Ice Body            	Oblivious         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.1m       	364     	Ball Roll Pokemon         	60               	70                	90           	75               	70               	45              	410             	Ice          	Water        	87.6 kg      
Seedot                        	Chlorophyll          	Early Bird          	Pickpocket        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.5m       	273     	Acorn Pokemon             	40               	50                	40           	30               	30               	30              	220             	Grass        	             	4 kg         
Seel                          	Hydration            	Thick Fat           	Ice Body          	                 	                 	                	The colder it gets, the better it feels. It joyfully swims around oceans so cold that they are filled with floating ice.                                                        	Seel                          	Dewgong         	                	                	1       	1.09m      	086     	Sea Lion Pokemon          	45               	55                	65           	45               	70               	45              	325             	Water        	             	90.0 kg      
Seismitoad                    	Swift Swim           	Poison Touch        	Water Absorb      	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.5m       	537     	Vibration Pokemon         	95               	75                	105          	85               	75               	74              	509             	Water        	Ground       	62 kg        
Sentret                       	Run Away             	Keen Eye            	Frisk             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.8m       	161     	Scout Pokemon             	46               	34                	35           	35               	45               	20              	215             	Normal       	             	6 kg         
Serperior                     	Overgrow             	Contrary            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	3.3m       	497     	Regal Pokemon             	75               	95                	75           	75               	95               	113             	528             	Grass        	             	63 kg        
Servine                       	Overgrow             	Contrary            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.8m       	496     	Grass Snake Pokemon       	60               	75                	60           	60               	75               	83              	413             	Grass        	             	16 kg        
Seviper                       	Shed Skin            	Infiltrator         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	2.7m       	336     	Fang Snake Pokemon        	100              	60                	73           	100              	60               	65              	458             	Poison       	             	52.5 kg      
Sewaddle                      	Swarm                	Chlorophyll         	Overcoat          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.3m       	540     	Sewing Pokemon            	53               	70                	45           	40               	60               	42              	310             	Bug          	Grass        	2.5 kg       
Sharpedo                      	Rough Skin           	Speed Boost         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.8m       	319     	Brutal Pokemon            	140              	70                	70           	110              	65               	105             	560             	Water        	Dark         	88.8 kg      
Shaymin                       	Natural Cure         	Serene Grace        	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.2m       	492     	Gratitude Pokemon         	103              	75                	100          	120              	75               	127             	600             	Grass        	Grass        	2.1 kg       
Shedinja                      	Wonder Guard         	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.8m       	292     	Shed Pokemon              	90               	45                	1            	30               	30               	40              	236             	Bug          	Ghost        	1.2 kg       
Shelgon                       	Rock Head            	Overcoat            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.1m       	372     	Endurance Pokemon         	95               	100               	65           	60               	50               	50              	420             	Dragon       	             	110.5 kg     
Shellder                      	Shell Armor          	Skill Link          	Overcoat          	                 	                 	                	It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.                                                                           	Shellder                      	Cloyster        	                	                	1       	0.30m      	090     	Bivalve Pokemon           	65               	100               	30           	45               	25               	40              	305             	Water        	             	4.0 kg       
Shellos                       	Sticky Hold          	Storm Drain         	Sand Force        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.3m       	422     	Sea Slug Pokemon          	48               	48                	76           	57               	62               	34              	325             	Water        	             	6.3 kg       
Shelmet                       	Hydration            	Shell Armor         	Overcoat          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.4m       	616     	Snail Pokemon             	40               	85                	50           	40               	65               	25              	305             	Bug          	             	7.7 kg       
Shieldon                      	Sturdy               	Soundproof          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.5m       	410     	Shield Pokemon            	42               	118               	30           	42               	88               	30              	350             	Rock         	Steel        	57 kg        
Shiftry                       	Chlorophyll          	Early Bird          	Pickpocket        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.3m       	275     	Wickid Pokemon            	100              	60                	90           	90               	60               	80              	480             	Grass        	Dark         	59.6 kg      
Shiinotic                     	Illuminate           	Effect Spore        	Rain Dish         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	1m         	756     	Illuminating Pokemon      	45               	80                	60           	90               	100              	30              	405             	Grass        	Fairy        	11.5 kg      
Shinx                         	Rivalry              	Intimidate          	Guts              	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.5m       	403     	Flash Pokemon             	65               	34                	45           	40               	34               	45              	263             	Electric     	             	9.5 kg       
Shroomish                     	Effect Spore         	Poison Heal         	Quick Feet        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.4m       	285     	Mushroom Pokemon          	40               	60                	60           	40               	60               	35              	295             	Grass        	             	4.5 kg       
Shuckle                       	Sturdy               	Gluttony            	Contrary          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.6m       	213     	Mold Pokemon              	10               	230               	20           	10               	230              	5               	505             	Bug          	Rock         	20.5 kg      
Shuppet                       	Insomnia             	Frisk               	Cursed Body       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.6m       	353     	Puppet Pokemon            	75               	35                	44           	63               	33               	45              	295             	Ghost        	             	2.3 kg       
Sigilyph                      	Wonder Skin          	Magic Guard         	Tinted Lens       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.4m       	561     	Avianoid Pokemon          	58               	80                	72           	103              	80               	97              	490             	Psychic      	Flying       	14 kg        
Silcoon                       	Shed Skin            	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.6m       	266     	Cocoon Pokemon            	35               	55                	50           	25               	25               	15              	205             	Bug          	             	10 kg        
Silvally                      	RKS System           	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	2.3m       	773     	Synthetic Pokemon         	95               	95                	95           	95               	95               	95              	570             	Normal       	             	100.5 kg     
Simipour                      	Gluttony             	Torrent             	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1m         	516     	Geyser Pokemon            	98               	63                	75           	98               	63               	101             	498             	Water        	             	29 kg        
Simisage                      	Gluttony             	Overgrow            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.1m       	512     	Thorn Monkey Pokemon      	98               	63                	75           	98               	63               	101             	498             	Grass        	             	30.5 kg      
Simisear                      	Gluttony             	Blaze               	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1m         	514     	Ember Pokemon             	98               	63                	75           	98               	63               	101             	498             	Fire         	             	28 kg        
Skarmory                      	Keen Eye             	Sturdy              	Weak Armor        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.7m       	227     	Armor Bird Pokemon        	80               	140               	65           	40               	70               	70              	465             	Steel        	Flying       	50.5 kg      
Skiddo                        	Sap Sipper           	Grass Pelt          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.9m       	672     	Mount Pokemon             	65               	48                	66           	62               	57               	52              	350             	Grass        	             	31 kg        
Skiploom                      	Chlorophyll          	Leaf Guard          	Infiltrator       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.6m       	188     	Cottonweed Pokemon        	45               	50                	55           	45               	65               	80              	340             	Grass        	Flying       	1 kg         
Skitty                        	Cute Charm           	Normalize           	Wonder Skin       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.6m       	300     	Kitten Pokemon            	45               	45                	50           	35               	35               	50              	260             	Normal       	             	11 kg        
Skorupi                       	Battle Armor         	Sniper              	Keen Eye          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.8m       	451     	Scorpion Pokemon          	50               	90                	40           	30               	55               	65              	330             	Poison       	Bug          	12 kg        
Skrelp                        	Poison Point         	Poison Touch        	Adaptability      	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.5m       	690     	Mock Kelp Pokemon         	60               	60                	50           	60               	60               	30              	320             	Poison       	Water        	7.3 kg       
Skuntank                      	Stench               	Aftermath           	Keen Eye          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1m         	435     	Skunk Pokemon             	93               	67                	103          	71               	61               	84              	479             	Poison       	Dark         	38 kg        
Slaking                       	Truant               	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	2m         	289     	Lazy Pokemon              	160              	100               	150          	95               	65               	100             	670             	Normal       	             	130.5 kg     
Slakoth                       	Truant               	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.8m       	287     	Slacker Pokemon           	60               	60                	60           	35               	35               	30              	280             	Normal       	             	24 kg        
Sliggoo                       	Sap Sipper           	Hydration           	Gooey             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.8m       	705     	Soft Tissue Pokemon       	75               	53                	68           	83               	113              	60              	452             	Dragon       	             	17.5 kg      
Slowbro                       	Oblivious            	Own Tempo           	Regenerator       	                 	                 	                	Though usually dim witted, it seems to become inspired if the Shellder on its tail bites down.                                                                                  	Slowpoke                      	Slowbro         	                	                	1       	1.60m      	080     	Hermit Crab Pokemon       	75               	110               	95           	100              	80               	30              	490             	Water        	Psychic      	78.5 kg      
Slowking                      	Oblivious            	Own Tempo           	Regenerator       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	2m         	199     	Royal Pokemon             	75               	80                	95           	100              	110              	30              	490             	Water        	Psychic      	79.5 kg      
Slowpoke                      	Oblivious            	Own Tempo           	Regenerator       	                 	                 	                	Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten.                                                                             	Slowpoke                      	Slowbro         	                	                	1       	1.19m      	079     	Dopey Pokemon             	65               	65                	90           	40               	40               	15              	315             	Water        	Psychic      	36.0 kg      
Slugma                        	Magma Armor          	Flame Body          	Weak Armor        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.7m       	218     	Lava Pokemon              	40               	40                	40           	70               	40               	20              	250             	Fire         	             	35 kg        
Slurpuff                      	Sweet Veil           	Unburden            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.8m       	685     	Meringue Pokemon          	80               	86                	82           	85               	75               	72              	480             	Fairy        	             	5 kg         
Smeargle                      	Own Tempo            	Technician          	Moody             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.2m       	235     	Painter Pokemon           	20               	35                	55           	20               	45               	75              	250             	Normal       	             	58 kg        
Smoochum                      	Oblivious            	Forewarn            	Hydration         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.4m       	238     	Kiss Pokemon              	30               	15                	45           	85               	65               	65              	305             	Ice          	Psychic      	6 kg         
Sneasel                       	Inner Focus          	Keen Eye            	Pickpocket        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.9m       	215     	Sharp Claw Pokemon        	95               	55                	55           	35               	75               	115             	430             	Dark         	Ice          	28 kg        
Snivy                         	Overgrow             	Contrary            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.6m       	495     	Grass Snake Pokemon       	45               	55                	45           	45               	55               	63              	308             	Grass        	             	8.1 kg       
Snorlax                       	Immunity             	Thick Fat           	Gluttony          	                 	                 	                	When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly.                                                                   	Snorlax                       	                	                	                	1       	2.11m      	143     	Sleeping Pokemon          	110              	65                	160          	65               	110              	30              	540             	Normal       	             	460.0 kg     
Snorunt                       	Inner Focus          	Ice Body            	Moody             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.7m       	361     	Snow Hat Pokemon          	50               	50                	50           	50               	50               	50              	300             	Ice          	             	16.8 kg      
Snover                        	Snow Warning         	Soundproof          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1m         	459     	Frosted Tree Pokemon      	62               	50                	60           	62               	60               	40              	334             	Grass        	Ice          	50.5 kg      
Snubbull                      	Intimidate           	Run Away            	Rattled           	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.6m       	209     	Fairy Pokemon             	80               	50                	60           	40               	40               	30              	300             	Fairy        	             	7.8 kg       
